Song,Producer,Theme ,Notes/Description
Mesmerizer,Satsuki,Conformity,Lyrics talk about 'pretending to fit in/being okay'
少女A ,siinamota,Depression,Lyrics put heavy focus on the topic of suicide
グッバイ宣言 ,Chinozo,Identity,"Lyrics focus on not being able to fit in, and wanting to 'be free'"
ECHO,Crusher,Identity,"Song talks about being unstable, indirectly hinting at mental instability as well"
Tetoris,Hiiragi Magnetite,Depression,"The song talks about ""why are bad things happening to me"" while also directly talking about ""not wanting to live"" anymore"
Monitoring,DECO*27,Obsession,"The lyrics focus on the story of the protagonist stalking a potential love interest, with obsessive surveillance."
Rabbit Hole,DECO*27,Desire,"The topics of 'sex' and 'lust' are indirectly mentioned throughout the song, with a heavy focus on hookup culture through expressions such as 'instant lover.'"
愛して愛して愛して ,Kikuo,Obssesion,The song is about affection deprivation and the need to be acknowledged on a manic level
強風オールバック,Yukopi,Escapism,"While it seems playful on the surface level, the lyrics occasionally hint at ""wanting to hide,"" or ""it's all over,"" implying the singer/protagonist being socially anxious"
きゅうくらりん ,いよわ (Iyowa),Depression,"The lyrics talk about having to pretend to be happy, otherwise the things the protagonist cares about will cease to exist, and the singer becomes overwhelmed by this."
BUTCHER VANITY,FLAVOR FOLEY,Obsession,"This song, from beginning to end, is about the narrator obsessing over a certain individual to the point where they want to violently murder and ""consume"" them."
オーバーライド ,吉田夜世 (Yoshida Yasei),Escapism,The song talks about the narrator always 'losing' and 'not being able to have it their way no matter what.' Therefore they choose to escape their reality
KING,Kanaria,Obsession,The song describes an interesting relationship dynamic where the narrator manipulates their partner but is trapped within the said toxic relationship
"
混沌ブギ",jon-YAKITORI, Insecurity,"The song talks about the protagonist's insecurity about their self-image and how they aspire to be others, instead of themselves."
ラグトレイン,稲葉曇 (Inabakumori),Depression,"The narrator of the song seems to accept the fact that they do not fit in with the rest of society, and that they're fine with that"
ヴァンパイア ,DECO*27,Obsession,"From the beginning to the end, the song indirectly describes sexual acts and how much the narrator desires the other person and describes themself as a 'vampire.'"
砂の惑星 ,hachi,Identity,"While this song does not feature a plot or a storyline, it faces the reality of the real-life Vocaloid music scene. The narrator (hachi) looks back at the past and present of the scene and calls it a ""Sand Planet,"" or the general musical scene of the VOCALOID genre."
Lost Umbrella,稲葉曇 (Inabakumori),Insecurity,"The song talks about a girl who constantly tries to confess her feelings to her love interest, but always ends up backing away at the last minute. This sort of frustration consumes her"
神っぽいな,PinocchioP,Identity,"The song criticizes modern-day self-idolization, further pointing out how self-idolization as 'god' has become too common for anyone to be truly viewed as a divine figure/persona."
ROKI,mikitoP,Ambition,"This song tells the listener to ""get up and do something"" instead of doing nothing at all"
"
脳漿炸裂ガール ",れるりり(rerulili),Identity,This song provides social commentary/critique on how younger girls are more than often sexualized
ヒバナ,DECO*27,Relationships,"The song's protagonist talks about desiring a 'true' and 'real' romantic relationship, yet ends up unsuccessful every time"
千本桜,Kurousa-P,Identity,Uses military and historical imagery to evoke national identity
マトリョシカ,hachi,Identity,"The song features a protagonist who seems to have conflicting emotions and feelings about themselves and others around them, using the metaphor of ""matryoshka"" to represent the different layers of feelings going on."
ロストワンの号哭,Neru,Depression,"The song starts with a rather vivid lyrical depiction of self-harm/suicide using a blade. Then it proceeds to talk about what sort of a person the protagonist viewed themselves as, and ultimately questions the meaning of everything"
Miku,Anamanaguchi,Identity,"As the title suggests, the song is about Hatsune Miku's identity. Her blue-coded character, and her position and identity as a symbol of internet music."
Goodbye To A World,Porter Robinson,Hope,"While it seems like the song talks about someone saying their final farewell in the sense of death, this song leans more towards saying goodbye in order to move forward, towards whatever awaits"
フォニイ,ツミキ (tsumiki),Identity,"The song clearly talks about ""who/what am I?"" While also using metaphors such as ""rain of despair"" to talk about their current situation of feeling unworthy. Additionally, the narrator talks about finding comfort in artificial things, ultimately calling themselves ""phony."""
アンノウン・マザーグース,wowaka,Identity,"This song talks about craving love, while being uncertain about one's self-identity in regards to the said love"
 ベノム,かいりきベア (Kairiki bear),Depression,"The song talks about how everyday exhaustion is a 'poison/venom,' and we are poisoning ourselves by just living. Then the song talks about ""if that's the case, goodbye,"" hinting at the theme of suicide."
