Theme,Definition
Conformity,Changing or performing one's usual behavior or identity to meet social expectations
Depression,"Persistent hopelessness, suicidal ideation, emotional despair"
Identity,"Exploration of self, persona, authenticity, or belonging"
Obsession,Unhealthy fixation on another individual or an idea
Desire,Romantic/sexual yearning
Insecurity,"Constant doubt or discomfort about self-worth, identity, and relationships"
Escapism,The desire to avoid or leave reality 
Anxiety,"Fears, worries, social unease, uncertainty"
Ambition,A drive to act and pursue a goal
Relationships,Emotional/interpersonal connections between people
Hope,"Optimism, acceptance, moving forward, etc."
